Critérios;;Pilar;;;;;;;;DirX;;;;;DirY;;;;;Esforços topo;;;Esforços base;;;Resultados;
Norma;fck;Pe direito;largura;Altura;Ângulo;Cobrimento;Cx;Cy;Altura fundação;Pé direito duplo;Altura;Rebaixo;Altura fundação;Rebaixo fundação;Pé direito duplo;Altura;Rebaixo;Altura fundação;Rebaixo fundação;N;Mx;My;N;Mx;My;As;Sd/Rd
6;50;285;25;100;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;560;275;-376;560;-105;-97;78,5;
6;50;240;15;85;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;-76,5;62;-108;-76,5;226;-50;0;
6;50;265;40;170;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;1265;-1426;-994;1265;-949;182;60,3;
6;50;245;35;65;0;3,5;1;1;0;0;0;0;0;0;0;0;0;0;0;115;103;126;115;-13;-5;9,8;
6;50;370;35;305;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;-249;3744;-2677;-249;6003;-1380;451,6;
6;50;345;50;245;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;258;1848;1745;258;-801;-185;48,3;
6;50;205;35;15;0;3,5;1;1;0;0;0;0;0;0;0;0;0;0;0;94;10;6;94;-3;-1;20,1;
6;50;355;50;35;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;181;58;-184;181;-115;-41;9,8;
6;25;350;30;320;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;-162;-2119;-1825;-162;-1450;4069;225,8;
6;25;270;15;150;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;80;-235;275;80;44;-272;11;
6;25;310;45;95;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;319;-899;-160;319;-158;584;19,6;
6;25;295;40;175;0;3,5;1;1;0;0;0;0;0;0;0;0;0;0;0;-420;393;1485;-420;-2057;439;0;
6;25;305;25;115;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;331;-68;646;331;-56;738;58,9;
6;25;325;20;175;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;472;143;503;472;-419;-304;127,6;
6;25;280;15;80;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;418;-128;-222;418;-108;-38;0;
6;25;335;25;20;0;4,5;1;1;0;0;0;0;0;0;0;0;0;0;0;53;-8;19;53;11;-2;16,1;
6;25;215;15;140;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;-126;-874;132;-126;-79;-23;0;
6;25;250;20;125;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;543;-383;-178;543;406;-191;0;
6;25;360;30;260;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1176;-235;-4855;1176;-4249;-195;274,9;
6;25;345;40;200;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1272;-1026;-2238;1272;-83;-1616;216;
6;25;350;35;15;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;79;7;8;79;-1;18;0;
6;25;305;15;15;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;5;-9;-1;5;-1;2;3,1;
6;25;315;50;15;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;79;-6;13;79;6;3;36,2;
6;25;250;35;15;0;3,5;1;1;0;0;0;0;0;0;0;0;0;0;0;-31,5;4;-20;-31,5;9;1;29,5;
6;25;290;20;40;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;101;-15;-20;101;-31;37;24,1;
6;25;230;20;15;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;10;4;0;10;-6;3;3,1;
6;25;195;35;295;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;670;-7468;518;670;-7112;8976;104,6;
6;25;230;35;20;0;3,5;1;1;0;0;0;0;0;0;0;0;0;0;0;184;18;17;184;-4;-4;0;
6;25;225;25;25;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;-37,5;-7;-13;-37,5;-25;-23;32,2;
6;25;280;15;245;0;3,5;1;1;0;0;0;0;0;0;0;0;0;0;0;316;3005;-465;316;-773;-218;0;
6;25;350;30;15;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;-27;-4;8;-27;6;0;24,1;
6;25;175;15;15;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;-13,5;-2;-3;-13,5;-2;7;0;
6;25;345;30;15;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;-14;-11;22;-14;-3;3;29,5;
6;25;270;15;235;0;3,5;1;1;0;0;0;0;0;0;0;0;0;0;0;1099;-496;522;1099;-108;1925;0;
6;25;395;15;115;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;518;24;124;518;-119;211;0;
6;25;340;30;70;0;3,5;1;1;0;0;0;0;0;0;0;0;0;0;0;304;154;213;304;13;156;58,9;
6;25;370;45;65;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;972;-190;121;972;-222;307;0;
6;25;325;20;15;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;64;1;8;64;8;0;0;
6;25;245;50;15;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;97;11;15;97;-10;26;32,2;
6;25;370;15;115;0;3,5;1;1;0;0;0;0;0;0;0;0;0;0;0;177;-277;-271;177;-150;-113;0;
6;25;205;15;15;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;30;0;1;30;-3;-4;16,1;
6;25;300;30;15;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;129;4;8;129;7;-3;0;
6;25;310;30;140;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;199;-1161;1286;199;-1010;703;17,2;
6;25;305;40;15;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;-36;-2;-8;-36;16;-11;32,2;
6;25;265;50;180;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;-540;-1393;1063;-540;-861;-390;0;
6;25;220;40;215;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;-96;551;-1953;-96;-761;-2372;92,5;
6;25;340;40;15;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;165;1;-16;165;3;-5;0;
6;25;315;40;225;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;2301;4086;5126;2301;-1364;1874;0;
6;25;340;25;15;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;-6;-7;-5;-6;11;-1;8;
6;25;225;50;15;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;242;-6;-34;242;-13;1;0;
6;25;215;45;125;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;262;-67;-1220;262;-388;-1808;24,5;
6;25;175;30;15;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;66;5;9;66;14;2;19,6;
6;25;300;30;15;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;118;3;-1;118;-4;6;0;
6;25;290;30;55;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;250;-32;56;250;47;-189;44;
6;25;200;45;145;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;1724;-2987;-132;1724;-965;189;0;
6;25;280;15;300;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;-222;1668;259;-222;-722;-1783;0;
6;25;190;35;15;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;-30;4;6;-30;-13;0;31,4;
6;25;195;50;15;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;150;-7;-18;150;-11;-14;0;
6;75;340;25;15;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;75;13;14;75;8;-3;0;
6;75;255;40;220;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;812;-1744;4238;812;1313;1403;39,3;
6;75;280;30;130;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;794;-102;170;794;354;1474;37,7;
6;75;285;15;170;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;497;876;447;497;133;-869;0;
6;75;315;15;295;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;826;26;1365;826;-2612;1153;0;
6;75;355;25;180;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;630;341;1717;630;585;310;31,9;
6;75;230;20;15;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;64;1;1;64;-2;-3;18,8;
6;75;265;25;310;0;3,5;1;1;0;0;0;0;0;0;0;0;0;0;0;1183;-2272;-2802;1183;-3464;-4741;56,3;
6;75;255;30;95;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;541;162;-423;541;411;-583;27;
6;75;285;45;210;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;1566;665;-2671;1566;203;-498;75,4;
6;75;295;40;15;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;30;6;0;30;8;0;4,7;
6;75;285;20;195;0;3,5;1;1;0;0;0;0;0;0;0;0;0;0;0;883;608;-184;883;-1418;6;80,4;
6;75;360;25;140;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;308;942;-389;308;-43;-74;17,2;
6;75;305;20;135;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;230;-37;-264;230;-261;49;11;
6;75;240;20;225;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;1131;-2809;-1147;1131;848;61;127,6;
6;75;325;30;155;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;906;-574;-573;906;1991;804;44;
6;75;245;25;40;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;26;-88;25;26;-35;50;4,7;
6;75;345;45;360;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;973;15114;9150;973;-4715;3854;68,4;
6;75;280;20;15;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;11;-15;-9;11;-7;0;3,1;
6;75;235;15;15;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;65;3;5;65;-5;-2;0;
6;75;340;40;50;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;398;127;-109;398;71;-11;19,6;
6;75;220;15;15;0;3,5;1;1;0;0;0;0;0;0;0;0;0;0;0;26;6;0;26;1;3;3,1;
6;75;345;15;120;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;50;76;280;50;-679;-314;28,1;
6;75;305;30;100;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;667;-551;-612;667;232;-375;31,4;
6;75;320;15;15;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;26;-4;0;26;2;-3;12,1;
6;75;330;20;290;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;731;359;2780;731;2143;1083;34,4;
6;75;280;45;80;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;566;-78;91;566;-148;259;27;
6;75;275;20;30;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;-36;-14;-1;-36;11;-8;29,5;
6;75;285;50;65;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;255;-113;-161;255;4;-205;14,1;
6;75;260;50;15;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;121;17;9;121;-8;1;6,3;
6;75;345;35;215;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;908;-2026;-1448;908;-3213;89;44,2;
6;75;330;35;15;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;70;6;-11;70;8;-5;9,8;
6;75;285;35;90;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;126;114;369;126;-642;-71;12,6;
6;75;280;15;160;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;702;-87;-795;702;9;-417;0;
6;75;240;20;15;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;-14;6;-6;-14;4;5;12,1;
6;75;265;40;45;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;323;85;-152;323;106;-17;16,1;
6;75;345;35;445;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;6918;8953;-7271;6918;-867;2014;0;
6;75;265;25;35;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;116;1;30;116;-26;-32;6,3;
6;75;350;30;410;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;-738;4445;-7276;-738;-1238;2305;0;
6;75;330;15;75;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;336;-60;-5;336;114;-53;0;
6;75;235;25;15;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;44;-8;8;44;2;1;3,1;
6;75;300;50;130;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;1009;1154;-306;1009;-46;-425;48,3;
6;75;305;15;15;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;16;3;5;16;-3;1;3,1;
6;75;315;35;280;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1767;1578;5522;1767;-1188;-4654;84,4;
6;75;270;40;15;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;-17;0;10;-17;-8;-14;16,1;
6;75;195;25;25;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;197;29;-5;197;0;7;32,2;
6;75;410;50;135;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;1662;626;83;1662;341;-1518;78,5;
6;75;275;15;15;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;56;2;1;56;6;-4;0;
6;75;235;35;165;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;594;1493;1038;594;734;107;29,5;
6;75;300;20;255;0;4,5;1;1;0;0;0;0;0;0;0;0;0;0;0;-13;250;2037;-13;1974;923;166,9;
6;20;305;35;260;0;3,5;1;1;0;0;0;0;0;0;0;0;0;0;0;1007;1123;1918;1007;-4542;975;206,2;
6;20;230;30;95;0;3,5;1;1;0;0;0;0;0;0;0;0;0;0;0;692;707;-167;692;-59;-7;0;
6;20;375;30;15;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;65;-6;-5;65;4;0;0;
6;20;325;50;15;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;79;-2;8;79;9;-25;37,7;
6;20;315;25;15;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;6;3;1;6;-15;20;3,1;
6;20;365;20;15;0;3,5;1;1;0;0;0;0;0;0;0;0;0;0;0;-15;-8;-2;-15;-11;-1;18,8;
6;20;310;20;15;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;93;-4;6;93;-1;4;0;
6;20;215;35;285;0;3,5;1;1;0;0;0;0;0;0;0;0;0;0;0;1109;410;-3865;1109;-359;1557;166,9;
6;20;310;20;50;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;446;17;67;446;35;62;0;
6;20;340;40;125;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;1150;2;532;1150;141;-525;0;
6;20;215;25;15;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;-22,5;-2;-10;-22,5;2;-1;0;
6;20;235;40;240;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;1357;-624;-1230;1357;-4185;856;274,9;
6;20;300;40;15;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;121;3;-5;121;-1;9;0;
6;20;225;30;85;0;4,5;1;1;0;0;0;0;0;0;0;0;0;0;0;337;-117;275;337;220;239;68,7;
6;20;245;30;15;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;67;-14;2;67;-4;1;0;
6;20;220;15;15;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;4;6;2;4;2;7;3,1;
6;20;285;20;15;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;12;0;-3;12;0;-14;3,1;
6;20;215;40;150;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;130;-370;422;130;-399;-461;24,5;
6;20;305;30;15;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;113;-11;-3;113;1;8;0;
6;20;285;15;135;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;795;298;296;795;481;196;0;
6;20;290;20;270;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;527;745;-2636;527;1066;4124;104,6;
6;20;315;15;270;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;431;533;1241;431;2091;1717;0;
6;20;230;30;15;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;62;-1;-1;62;4;0;0;
6;20;275;40;190;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1994;-1855;804;1994;1576;-2693;0;
6;20;365;25;15;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;10;8;-5;10;-11;4;3,1;
6;20;225;40;15;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;104;-7;7;104;-13;4;0;
6;20;350;30;25;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;125;17;-30;125;1;-28;39,3;
6;20;260;15;95;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;-85,5;62;140;-85,5;-153;129;0;
6;20;235;15;290;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;907;-885;-852;907;184;2114;0;
6;20;270;30;255;0;3,5;1;1;0;0;0;0;0;0;0;0;0;0;0;1642;-2294;3358;1642;-483;2913;0;
6;20;215;30;15;0;3,5;1;1;0;0;0;0;0;0;0;0;0;0;0;66;10;8;66;-8;3;0;
6;20;250;15;60;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;217;76;-6;217;25;-23;0;
6;20;265;30;50;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;322;-151;-32;322;-53;58;0;
6;20;305;30;15;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;85;5;-3;85;-11;9;0;
6;20;260;30;340;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;1194;6254;5431;1194;1630;1038;314,2;
6;20;390;30;15;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;15;-9;14;15;-1;-5;3,1;
6;20;265;40;195;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;969;729;-1302;969;3080;-280;176,7;
6;20;335;25;15;0;3,5;1;1;0;0;0;0;0;0;0;0;0;0;0;49;1;0;49;-2;-4;0;
6;20;220;35;230;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;1427;1204;2436;1427;-587;4571;333,8;
6;20;220;15;70;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;129;-80;-99;129;-11;-139;0;
6;20;330;30;45;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;313;-23;-131;313;-118;29;0;
6;20;305;50;80;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1165;-387;180;1165;496;-50;0;
6;20;250;15;305;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;17;1307;-362;17;381;-1666;144,5;
6;20;280;40;15;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;40;-3;-4;40;10;8;7,9;
6;20;325;50;305;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;813;-3409;-12434;813;3482;1962;60,3;
6;20;205;15;15;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;4;-5;5;4;2;2;3,1;
6;20;255;15;55;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;152;77;50;152;62;23;0;
6;20;280;25;75;0;3,5;1;1;0;0;0;0;0;0;0;0;0;0;0;-2;36;132;-2;31;209;7,9;
6;20;200;30;205;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;1996;-1953;-393;1996;1751;-2564;0;
6;20;245;20;15;0;3,5;1;1;0;0;0;0;0;0;0;0;0;0;0;56;-3;-10;56;2;4;0;
6;20;340;15;15;0;3,5;1;1;0;0;0;0;0;0;0;0;0;0;0;37;-1;1;37;0;1;0;
6;20;290;15;15;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;37;1;0;37;5;1;0;
6;20;290;20;15;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;72;6;1;72;-5;-1;0;
6;20;245;15;110;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;510;218;-8;510;403;4;0;
6;20;305;30;30;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;-14;-45;12;-49;-2;4,7;
6;20;295;35;320;0;3,5;1;1;0;0;0;0;0;0;0;0;0;0;0;575;1593;3243;575;1946;1606;44,2;
6;20;245;40;110;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;385;-55;790;385;110;-417;24,5;
6;20;295;35;35;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;267;-21;30;267;58;-41;0;
6;20;270;25;125;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;186;99;-1;186;-675;-107;12,6;
6;20;275;50;70;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;327;-434;219;327;-149;144;27;
6;20;285;25;110;0;3,5;1;1;0;0;0;0;0;0;0;0;0;0;0;-130;-179;-19;-130;-534;114;127,6;
6;20;325;40;15;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;134;-4;-8;134;-2;-2;0;
6;20;270;30;15;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;8;-5;4;8;-3;-5;3,1;
6;20;270;50;15;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;118;31;-12;118;-6;-16;0;
6;20;295;15;60;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;36;-20;85;36;133;48;28,1;
6;20;250;15;155;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;775;74;-108;775;518;-718;0;
6;20;330;30;15;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;82;6;7;82;7;-17;0;
6;20;330;15;260;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;414;1128;658;414;-1993;-464;0;
6;20;305;25;15;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;22;-11;-11;22;-11;3;4,9;
6;20;300;35;390;0;3,5;1;1;0;0;0;0;0;0;0;0;0;0;0;599;5337;5092;599;3507;-5067;54;
6;20;275;50;105;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;1489;1172;1334;1489;678;-372;0;
6;20;260;25;15;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;26;2;15;26;0;1;4,9;
6;20;280;15;15;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;76;1;5;76;-1;-2;0;
